Timestamps are UTC timezone,https://www.CryptoDataDownload.com
date,symbol,open,high,low,close,volume_btc,volume
2019-10-07 03-AM,BTCUSD,7827.37,7916.26,7825.01,7873.54,325.62,2564626.84
2019-10-07 02-AM,BTCUSD,7821.57,7845.86,7802.38,7827.37,344.04,2692854.96
2019-10-07 01-AM,BTCUSD,7822.48,7832.59,7776.23,7821.57,311.34,2430341.21
2019-10-07 12-AM,BTCUSD,7859.79,7866.65,7762.35,7822.48,748.17,5844451.27
2019-10-06 11-PM,BTCUSD,7850.38,7878,7801,7859.79,740.72,5812441.14
2019-10-06 10-PM,BTCUSD,7926.98,7926.98,7850.29,7850.38,243.65,1919801.06
2019-10-06 09-PM,BTCUSD,7906.98,7930.1,7877.03,7926.98,236.56,1870226.32
2019-10-06 08-PM,BTCUSD,7907.14,7929.98,7876,7906.98,281.04,2220103.54
2019-10-06 07-PM,BTCUSD,7847.51,7910.03,7829.95,7907.14,429.1,3378158.21
2019-10-06 06-PM,BTCUSD,7990.99,8007.84,7780.85,7847.51,1087.5,8555823.23
2019-10-06 05-PM,BTCUSD,8005.97,8028.58,7989,7990.99,214.57,1720235.7
2019-10-06 04-PM,BTCUSD,8030,8045.21,7977.3,8005.97,418.77,3350255.21
2019-10-06 03-PM,BTCUSD,7922.43,8073.14,7919,8030,750.08,6010308.27
2019-10-06 02-PM,BTCUSD,7918.17,7934.21,7875,7922.43,372.85,2948208.97
2019-10-06 01-PM,BTCUSD,7962.44,7962.44,7895.33,7918.17,247.51,1961708.95
2019-10-06 12-PM,BTCUSD,7958.18,7980.69,7947.9,7962.44,137.69,1096172.35
2019-10-06 11-AM,BTCUSD,7922.01,7983.49,7913.34,7958.18,228.56,1818168.48
2019-10-06 10-AM,BTCUSD,7957.45,7959.2,7914.73,7922.01,173.68,1377847.46
2019-10-06 09-AM,BTCUSD,7892.39,7959.84,7892.39,7957.45,161.79,1283208.51
2019-10-06 08-AM,BTCUSD,7980.36,7980.36,7887.39,7892.39,246.79,1959619.12
2019-10-06 07-AM,BTCUSD,7977.15,7991.71,7957.67,7980.36,209.69,1671935.3
2019-10-06 06-AM,BTCUSD,8073.66,8080.49,7918.88,7977.15,543.55,4343984.75
2019-10-06 05-AM,BTCUSD,8093.99,8093.99,8060,8073.66,76.43,617248.47
2019-10-06 04-AM,BTCUSD,8061.48,8094.01,8056.22,8093.99,44.48,359084.73
2019-10-06 03-AM,BTCUSD,8073.51,8079,8047.66,8061.48,198.6,1601605.73
2019-10-06 02-AM,BTCUSD,8073.86,8077,8030,8073.51,338.8,2729311.26
2019-10-06 01-AM,BTCUSD,8148.06,8159.49,8057,8073.86,250.4,2027746.9
2019-10-06 12-AM,BTCUSD,8147.63,8176.18,8138,8148.06,137.32,1119848.5
2019-10-05 11-PM,BTCUSD,8144.95,8156.82,8130,8147.63,181.19,1474933.93
2019-10-05 10-PM,BTCUSD,8163.54,8190,8140.57,8144.95,168.02,1370900.95
2019-10-05 09-PM,BTCUSD,8103.6,8200,8095.01,8163.54,358.92,2926634.03
2019-10-05 08-PM,BTCUSD,8085.01,8120,8076.37,8103.6,130.48,1056720.63
2019-10-05 07-PM,BTCUSD,8076.42,8104,8072.27,8085.01,187.12,1514611.6
2019-10-05 06-PM,BTCUSD,8051.97,8095,8051.96,8076.42,290.5,2346040.53
2019-10-05 05-PM,BTCUSD,8083.87,8083.87,8048.94,8051.97,163.25,1316683.01
2019-10-05 04-PM,BTCUSD,8098.63,8110.78,8054.96,8083.87,225.63,1822881.68
2019-10-05 03-PM,BTCUSD,8043.51,8102.16,8037.11,8098.63,190.78,1537315.67
2019-10-05 02-PM,BTCUSD,8087.85,8097.21,8037.97,8043.51,213.78,1724425.05
2019-10-05 01-PM,BTCUSD,8081.81,8090,8020.2,8087.85,310.54,2499071.75
2019-10-05 12-PM,BTCUSD,8096.94,8106.09,8066.71,8081.81,103.3,835476.62
2019-10-05 11-AM,BTCUSD,8106.34,8117.26,8088.02,8096.94,70.92,574382.03
2019-10-05 10-AM,BTCUSD,8095.27,8119.17,8081.76,8106.34,105.57,854283.26
2019-10-05 09-AM,BTCUSD,8104.62,8109.97,8090.45,8095.27,51.6,418080.01
2019-10-05 08-AM,BTCUSD,8123.91,8123.91,8083,8104.62,205.88,1667753.56
